original_address,lat,lon,formatted,name,housenumber,street,postcode,district,suburb,city,county,state,state_code,country,country_code,confidence_building_level,confidence,confidence_city_level,confidence_street_level,attribution,attribution_license,attribution_url
"Đường 475, Phường Phước Long B,Phường Phước Long B,Quận 9,TP. Hồ Chí Minh",10.88228745,106.76693634547452,"Chùa Linh Phước, Đường số 11, Khu phố 27, Ho Chi Minh City, 75350, Vietnam",Chùa Linh Phước,,Đường số 11,75350,,Khu phố 27,Ho Chi Minh City,Phường Linh Xuân,,,Vietnam,vn,,0.03473527900499999,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Thới An 17A,Phường Thới An,Quận 12,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thạch Lam,Phường Phú Thạnh,Quận Tân Phú,TP. Hồ Chí Minh",,,,,,,,,,,,,,,,,,,,,,
"Đường An Hạ,Xã Lê Minh Xuân,Huyện Bình Chánh,TP. Hồ Chí Minh",10.69541,106.59128,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Binh Chanh,Ho Chi Minh,HC,Vietnam,vn,,0.1,0.2,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Thạnh Xuân 31,Phường Thới An,Quận 12,TP. Hồ Chí Minh",10.89511,106.679433,"31, Đường Thạnh Xuân 52, HC, Vietnam",,31,Đường Thạnh Xuân 52,,,,,Hoc Mon,Ho Chi Minh,HC,Vietnam,vn,0,0.09999999999999999,0.2222222222222222,0.19999999999999998,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Tân Hiệp 11,Xã Tân Hiệp,Huyện Hóc Môn,TP. Hồ Chí Minh",10.844917,106.814926,"11, Đường 11, Ho Chi Minh City, HC, Vietnam",,11,Đường 11,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,0,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Ao Đôi,Phường Bình Trị Đông,Quận Bình Tân,TP. Hồ Chí Minh",10.775797,106.597583,"Đường Ao Đôi, HC, Vietnam",,,Đường Ao Đôi,,,,,Binh Tan,Ho Chi Minh,HC,Vietnam,vn,,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Đường Trương Thị Kiện,Xã Thái Mỹ,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 623,Xã Tân Thông Hội,Huyện Củ Chi,TP. Hồ Chí Minh",10.781971,106.693081,"Ho Chi Minh City, HC, Vietnam",,,,,,,Ho Chi Minh City,Quan 8,Ho Chi Minh,HC,Vietnam,vn,,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Đường Số 904, Phường Hiệp Phú,Phường Trường Thạnh,Quận 9,TP. Hồ Chí Minh",11.025739118177485,106.37185428668161,"Đường số, Tây Ninh Province 89150, Vietnam",Đường số,,Đường số,89150,,,,Phường An Tịnh,Tây Ninh Province,,Vietnam,vn,,0.06000000000000001,0.18,0.12000000000000001,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
