original_address,lat,lon,formatted,name,housenumber,street,district,postcode,suburb,city,county_code,county,state,confidence_building_level,state_code,country,country_code,confidence,confidence_street_level,confidence_city_level,attribution,attribution_license,attribution_url
"Phường Tân Hưng,TP. Hồ Chí Minh(Mới)",20.9166111,106.3342057,"Phường Tân Hưng, Hải Phòng, Vietnam",,,,Phường Tân Hưng,03118,Phường Tân Hưng,Hải Phòng,,,,,,Vietnam,vn,0.2222222222222222,,0.2222222222222222,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Tam Long,TP. Hồ Chí Minh(Mới)",10.78885,106.68688,"Phường Tám, HC, Vietnam",,,,,,,Phường Tám,,Quan 8,Ho Chi Minh,,HC,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Xã Hồ Tràm,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
"Phường Bình Hòa,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Lái Thiêu,TP. Hồ Chí Minh(Mới)",10.90689,106.70411,"Phường Lái Thiêu, BI, Vietnam",,,,,,,Phường Lái Thiêu,,Thuan An,Bin Duong,,BI,Vietnam,vn,0,,,GeoNames,CC BY 4.0,https://www.geonames.org/datasources/
"Phường Thuận An,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Bến Cát,TP. Hồ Chí Minh(Mới)",10.9877112,106.68058451378135,"Phường Phú Lợi, Vietnam",,,,,75111,,,,Phường Phú Lợi,,,,Vietnam,vn,0.05555555555555555,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Bình Tân,TP. Hồ Chí Minh(Mới)",10.7608529,106.7012374,"Phụ kiện trang trí sinh nhật Ellie Party, Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam, Nguyen Huu Hao Street, Ho Chi Minh City, 72806, Vietnam",Phụ kiện trang trí sinh nhật Ellie Party,"Ke Q34 Hoàng Diệu, Phường 6, Quận 4, Hồ Chí Minh, Việt Nam",Nguyen Huu Hao Street,,72806,,Ho Chi Minh City,,Phường Khánh Hội,,,,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Xã Dầu Tiếng,TP. Hồ Chí Minh(Mới)",11.4446086,106.4859846,"QA-71-Ấp Hoà Cường-Xã Minh Hoà-Huyện Dầu Tiếng-Bình Dương-0373047692, Provincial Road 751, Ấp Cây Liễu, BI, Vietnam",QA-71-Ấp Hoà Cường-Xã Minh Hoà-Huyện Dầu Tiếng-Bình Dương-0373047692,,Provincial Road 751,,,,Ấp Cây Liễu,,Xã Minh Thạnh,Bin Duong,,BI,Vietnam,vn,0,,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Phường Thới Hòa,TP. Hồ Chí Minh(Mới)",11.13333,106.45,"Xa Moi, HC, Vietnam",,,,,,,Xa Moi,,Cu Chi,Ho Chi Minh,,HC,Vietnam,vn,0,,,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
